"","date","source","Pras","Lut","Fuco","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl","Chl_c1c2","Chl_c3","DP2","micro","nano","pico","time_month"
"48",2000-02-08,"MOTE",NA,NA,0.0980387436095256,NA,NA,0.0115745007693244,0.0436165104194651,0.0116111564382447,0.0922701273387665,NA,0.33945642035894,NA,NA,0.0612627956532029,NA,NA,NA,NA,"02-2000"
"49",2000-03-09,"MOTE",NA,NA,0.0162225970170266,NA,NA,0.00969607843137255,0.0188348711120955,0.0206813063452193,0.0312623557688588,NA,0.0968388595661368,NA,NA,NA,NA,NA,NA,NA,"03-2000"
"50",2000-04-11,"MOTE",NA,NA,0.100835323293253,NA,NA,NA,0.0233304716065287,0.0144439873669797,0.0371874018838872,NA,0.236680883516602,NA,NA,0.0292805353490868,NA,NA,NA,NA,"04-2000"
"51",2000-05-11,"MOTE",NA,NA,0.0943167477222012,NA,0.00599894726225337,0.0144752178658592,0.0380761372089417,0.0305512787348952,0.0616990188820306,NA,0.359150060041973,NA,NA,0.0438492481477518,NA,NA,NA,NA,"05-2000"
"52",2000-06-06,"MOTE",NA,NA,0.0122273816286173,NA,NA,0.00979074217854618,0.0293529264262618,0.0180223036788214,0.0437540215797663,NA,0.13836019882014,NA,NA,0.0252812236941721,NA,NA,NA,NA,"06-2000"
"53",2000-07-07,"MOTE",NA,NA,0.147554275616256,NA,NA,0.00593419832578577,0.0164883832677633,0.00948925449557801,NA,NA,0.0919423051612331,NA,NA,0.0852804862922245,NA,NA,NA,NA,"07-2000"
"54",2000-08-09,"MOTE",NA,NA,0.0153550260577319,NA,NA,0.0075910076328154,0.0232224720299985,0.0443111297388577,0.0461585365853659,NA,0.141903187874675,NA,NA,0.0227516250600616,NA,NA,NA,NA,"08-2000"
"55",2000-09-12,"MOTE",NA,NA,0.0381650475142824,NA,NA,0.0226477498997291,0.0380926376127432,0.0346179046502453,0.0481595373517682,NA,0.255000604299378,NA,NA,0.0222879282918716,NA,NA,NA,NA,"09-2000"
"56",2000-10-10,"MOTE",NA,NA,0.0200998012826553,NA,NA,0.0147262536756492,0.0254427249401453,0.0386218863222196,0.0633328574320265,NA,0.152685563611843,NA,NA,0.0270792825444837,NA,NA,NA,NA,"10-2000"
"57",2000-11-03,"MOTE",NA,NA,0.0923594317413183,0.00655344195274414,0.00566490636322327,0.00849048718211778,0.0271133509826135,0.0252715567822644,0.0408313183340338,NA,NA,NA,0.0783334428581813,0.0481387344967107,0.243244892338344,0.573361070680304,0.167750984151547,0.258887945168149,"11-2000"
"58",2000-12-05,"MOTE",NA,NA,0.137204299899725,0.0213867237995673,0.0216263810423022,0.00992657553865568,0.047249315925215,0.0245149025999242,0.109398695964744,NA,NA,NA,0.12774827441162,0.092069377061331,0.431645603865263,0.518048467107297,0.177128553156306,0.304822979736398,"12-2000"
"59",2001-01-11,"MOTE",NA,NA,0.426351403279776,0.0183860398952731,0.0145744185709163,0.00980912183326509,0.0272168448297628,0.00630168252880688,0.0570425440861665,NA,NA,NA,0.313625096252299,0.0978252363107833,0.736855448096613,0.85102145406761,0.0634361011223229,0.0855424448100675,"01-2001"
"60",2001-02-18,"MOTE",NA,NA,0.508930682261433,0.0597889215045413,0.0185557440646165,0.0106066100228882,0.012852397842595,0.0133787439385855,0.0298329780317877,NA,NA,NA,0.38806489290912,0.0910335068975854,0.87469997411619,0.916765365313142,0.0356331383665231,0.0476014963203352,"02-2001"
"61",2001-03-14,"MOTE",NA,NA,0.788287597339938,0.0326435845082456,0.0179982970005321,0.00707622762511389,0.0229996117059604,0.00699457416410111,0.039120766983493,NA,NA,NA,0.582818778977938,0.239193205026256,1.24552543957607,0.929337073034743,0.0341102344325774,0.0365526925326796,"03-2001"
"62",2001-04-04,"MOTE",NA,NA,0.155091598742002,0.02556759945429,0.0115418554203291,0.0116237597451474,0.0399887101780933,0.0118017346109358,0.0626828925965545,NA,NA,NA,0.138955349204199,0.0700033710736588,0.389967773833874,0.653206461017177,0.158421016387614,0.188372522595209,"04-2001"
"63",2001-05-05,"MOTE",NA,NA,0.0317555217876868,0.0177741385263604,0.0120382857310008,0.0122638271487806,0.0527108259509652,0.0270321899722413,0.122218509370894,NA,NA,NA,0.0731385321008428,0.0607069332334358,0.294983258781936,0.236748422033105,0.265974619110161,0.497276958856734,"05-2001"
