date,time_month,year,month,upwelling,ui,Isotherm_21,sst,temp_50m,euphotic_depth_obs,MLD,depth_cutoff,cutoff_source,TotChlA_mmolN,micro_mmolN,nano_mmolN,pico_mmolN,micro_frac,nano_frac,pico_frac,size_centroid,size_shannon,nbss_slope,n_hplc_samples,NO3_mmolN,PON_mmolN,PP_mgC_m2_d,Temp_C,n_niskin_samples,FN_mmolN_m2_d,zoo_gt200_mmolN,zoo_gt500_mmolN,n_zoo_samples,export_flux_mmolN,export_flux_C,trap_CN,export_flux_corrected_mmolN
1998-09-01,09-1998,1998,9,relaxed,relaxed,118,28.39390909090909,23.439,57.5,13,57.5,observed,0.14482678493672355,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6431761937770549,6.314083433567403,532.9593687830504,25.37199731259481,1,1.0200799000274847,NA,NA,NA,0.713928749910759,5.744733993838982,8.09038069269836,2.3016138440691805
1998-10-01,10-1998,1998,10,relaxed,relaxed,111,27.06009090909091,23.903,52.5,13,52.5,observed,0.3113866277003553,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9165248438506092,6.03541618624824,1034.5746659601793,25.163177158587622,1,2.1115376056793833,NA,NA,NA,0.39540669225826647,3.1189358472682094,7.83733436657423,1.3782243978473574
1998-11-01,11-1998,1998,11,relaxed,relaxed,123,27.363454545454545,24.336,57,22,57,observed,0.20837297641580696,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4.3061950386997605,541.6959982771991,25.844209666396118,1,0.9898587017185025,NA,NA,NA,0.6782323124152211,5.120306385813005,7.528346238170566,2.202979475667066
1998-12-01,12-1998,1998,12,relaxed,relaxed,110,26.98781818181818,23.443,56.5,26,56.5,observed,0.9389231899644789,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.8694563627127567,585.8574416611254,25.423415027029783,1,1.1246111479214946,NA,NA,NA,0.42835724994645535,2.872366996919491,6.70554075430855,1.40191329390983
1999-01-01,01-1999,1999,1,upwelling,weak,76,24.559363636363635,21.992,28.5,22,28.5,observed,0.06356716821428833,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.4107941057211357,14.615221014889554,1688.45550082183,23.906690840365332,1,3.9376772737660346,NA,NA,NA,0.2617738749672783,1.9704160075486363,7.48947353814559,1.5411397154661826
1999-02-01,02-1999,1999,2,upwelling,weak,61,22.418545454545455,21.947,NA,56,22.055749486634884,isotherm_chl_model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.1959496911617236,15.269618925091294,3665.1061324702328,22.223458732789055,1,9.948189939493266,NA,NA,NA,0.1427857499821518,0.9574556656398302,6.705540754308551,1.0474076600294548
1999-03-01,03-1999,1999,3,upwelling,weak,55,24.444454545454544,21.16,49.2,14,49.2,observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.078046673036301,14.097834300033707,1205.2458440285545,22.62271357638182,1,3.08540314452796,NA,NA,NA,0.2855714999643036,2.289567896095246,7.813412705020398,1.0524013706559807
1999-04-01,04-1999,1999,4,upwelling,weak,79,25.689363636363638,21.73,48.5,21,48.5,observed,0.1288366409666647,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6014615560885546,7.385580947479712,411.3084977618715,24.132167411862625,1,0.8611193366299142,NA,NA,NA,0.47181378254971895,3.5547125280087455,7.504121222212972,1.7602599670900942
1999-05-01,05-1999,1999,5,relaxed,relaxed,104,25.758181818181818,22.17,45.2,20,45.2,observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9609522637878274,11.420735854977039,1163.5366430032527,24.1938448686075,1,2.611276447832826,NA,NA,NA,1.0708931248661384,8.741986512363667,8.08228221352649,4.244337921911493
1999-06-01,06-1999,1999,6,relaxed,relaxed,81,25.862,22.488,48.8,16,48.8,observed,0.3840517625536381,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.7752442567770645,11.372316001045515,1740.977170491211,23.854499033054825,1,4.082105936833586,NA,NA,NA,0.8924109373884487,7.076846224294398,7.968903505120307,3.311869972725738
1999-07-01,07-1999,1999,7,relaxed,relaxed,93,26.383909090909093,22.276,40,14,40,observed,0.2084797355070239,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.7358969040306288,10.126795909730975,1139.278330726673,24.1845972355021,1,2.55661047814586,NA,NA,NA,0.5949406249256325,4.773402159131908,8.009010259114332,2.6186578224511696
1999-08-01,08-1999,1999,8,relaxed,relaxed,106,27.278,23.121,47.8,14,47.8,observed,0.1451089310684826,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4841441466489121,8.398427323356591,807.9888016562837,24.742818323191187,1,1.6935600999484584,NA,NA,NA,0.4640536874419933,3.829822662559321,8.246565648155856,1.7530394652217054
1999-09-01,09-1999,1999,9,relaxed,relaxed,121,28.979454545454544,24.209,50,13,50,observed,0.0975032459798416,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.21163269745349847,6.208693738327294,456.1857271145093,26.48114136657266,1,0.7660869530964745,NA,NA,NA,0.6068394374241451,5.037049371409542,8.404833069686122,2.205617169661386
1999-10-01,10-1999,1999,10,relaxed,relaxed,123,28.313454545454544,24.725,59,18,59,observed,0.07113337543370896,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6.7262597869713865,395.33450912375446,26.28041247429281,1,0.6682087832410067,NA,NA,NA,0.6754864326078719,5.494962950628591,8.157286589856735,2.1300912335875584
1999-11-01,11-1999,1999,11,relaxed,relaxed,115,28.412636363636363,25.754,48,21,48,observed,0.051547994523166114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4.745212747498452,669.3593421634399,27.26880214139169,1,1.060244019560842,NA,NA,NA,1.249375312343828,10.532012322038131,8.18535376662302,4.702843632750393
1999-12-01,12-1999,1999,12,relaxed,relaxed,127,28.527454545454546,27.855,55,40,55,observed,0.06552892536135198,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.14079165513658187,4.7251095021197385,489.99186780198914,28.278573419280224,1,0.6634698673679376,NA,NA,NA,0.6663334999167083,5.439458274359615,8.139707793108842,2.2316858558177732
2000-01-01,01-2000,2000,1,relaxed,relaxed,82,25.179454545454544,22.094,34.4,37,34.4,observed,0.44842927769132906,0.24713567382516385,0.08707152336066552,0.11422208050549972,0.5511140465616001,0.19417002344035209,0.2547159299980478,1.095738666017134,0.9949610834200548,0.1675926867909392,1,1.4082623852457912,11.796293149236737,3023.635306709969,24.636338702530946,1,6.6953988592266995,NA,NA,NA,0.49975012493753124,4.28773624177837,8.576289443010575,2.5035620987469085
2000-02-01,02-2000,2000,2,upwelling,moderate,44,23.540727272727274,20.679,38.5,35,38.5,observed,0.49493718957938365,0.2778309106983864,0.10183964130014748,0.11526663758084978,0.5613457960887878,0.20576275827382187,0.2328914456373903,1.1277948999049792,0.9888140678382633,0.19103846893077886,1,2.232348706966597,13.80389972442188,1410.0236827412132,22.91742931800254,1,3.5481940110567303,NA,NA,NA,1.5349468123081316,11.989010074098744,7.751401493075792,6.981369524928885
